episode,total_reward,epsilon
0,193.1454984158179,1.0
1,198.56397079711743,0.94
2,201.9566829449164,0.8835999999999999
3,199.92060829181884,0.8305839999999999
4,208.09816731627558,0.7807489599999998
5,206.7742543260632,0.7339040223999997
6,208.19455595728326,0.6898697810559997
7,212.20684179140395,0.6484775941926397
8,214.50803044247672,0.6095689385410813
9,212.6140898935236,0.5729948022286164
10,213.6243464824882,0.5386151140948994
11,213.14442878651872,0.5062982072492054
12,216.67895973482078,0.475920314814253
13,215.15643670213896,0.4473650959253978
14,217.78932273568267,0.42052319016987394
15,216.20077604077804,0.39529179875968146
16,216.37329738982805,0.37157429083410054
17,216.68470511696876,0.3492798333840545
18,219.895993275951,0.3283230433810112
19,220.6418631530281,0.3086236607781505
20,219.9595551562782,0.29010624113146144
21,219.5567920938601,0.27269986666357376
22,219.6304015361661,0.25633787466375935
23,220.2958830781504,0.24095760218393378
24,220.64185533951724,0.22650014605289773
25,220.3558165742026,0.21291013728972386
26,220.0560316440492,0.20013552905234042
27,221.13416613924173,0.18812739730919997
28,221.00904884386813,0.17683975347064795
29,221.97208499904787,0.16622936826240906
30,221.7511309142663,0.1562556061666645
31,222.4288362998923,0.14688026979666463
32,221.04143114473914,0.13806745360886474
33,222.23145484068885,0.12978340639233285
34,222.45991389274167,0.12199640200879287
35,223.43936373092927,0.11467661788826529
36,223.22266818981186,0.10779602081496936
37,222.68726883957453,0.1013282595660712
38,222.96131792964314,0.09524856399210692
39,222.7059111037765,0.0895336501525805
40,223.22460799044543,0.08416163114342566
41,222.95635498535955,0.07911193327482012
42,223.9261779550006,0.07436521727833091
43,222.86466612976454,0.06990330424163105
44,223.28441593465874,0.06570910598713318
45,223.48117601115163,0.06176655962790519
46,223.09816034828185,0.058060566050230876
47,222.42290607181383,0.05457693208721702
48,222.59088147483928,0.051302316161983996
49,223.37496015985093,0.05
50,223.96165337494213,0.05
51,223.39952612112782,0.05
52,224.0223657343196,0.05
53,222.94876276635975,0.05
54,223.5578931653569,0.05
55,223.3723619434533,0.05
56,223.77997397178922,0.05
57,222.30173948220053,0.05
58,223.32849176887564,0.05
59,223.3910406071814,0.05
