Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
45,0,5,2.5,1,0,1,0.0,35.6,-2.7837108953613807,-0.5555555555555556,0.125,-1.7281553398058251,-0.625
46,0,4,2.0,1,0,0,0.0,36.0,-2.692017259978425,-0.4444444444444444,0.0,-1.7475728155339805,-0.5
47,0,3,1.5,0,0,1,0.0,27.0,-1.8940129449838186,-0.3333333333333333,0.125,-1.3106796116504853,-0.375
48,0,2,1.0,1,0,0,0.0,18.25,-1.3581445523193096,-0.2222222222222222,0.0,-0.8859223300970873,-0.25
49,0,1,0.5,0,0,1,0.0,12.33,-0.7096548004314993,-0.1111111111111111,0.125,-0.5985436893203883,-0.125
50,1,0,0.5,1,0,0,0.17,0.0,-0.2443635382955771,-0.1111111111111111,0.0,-0.00825242718446602,-0.125
51,2,0,1.0,0,0,0,0.5,0.0,-0.4964940668824164,-0.2222222222222222,0.0,-0.024271844660194174,-0.25
52,2,0,1.0,0,0,0,0.83,0.0,-0.5125134843581445,-0.2222222222222222,0.0,-0.04029126213592232,-0.25
53,3,0,1.5,0,1,1,1.33,0.0,-0.6478964401294498,-0.3333333333333333,0.125,-0.0645631067961165,-0.375
54,4,0,2.0,1,0,0,1.71,0.0,-1.0274541531823085,-0.4444444444444444,0.0,-0.08300970873786408,-0.5
55,5,0,2.5,0,0,1,2.43,0.0,-1.1735167206040993,-0.5555555555555556,0.125,-0.11796116504854369,-0.625
56,5,0,2.5,0,1,0,3.14,0.0,-1.332982740021575,-0.5555555555555556,0.0,-0.1524271844660194,-0.625
57,6,1,2.5,0,0,1,4.0,0.33,-1.4879719525350592,-0.7777777777777778,0.125,-0.21019417475728155,-0.625
58,6,1,2.5,0,1,0,4.86,0.5,-1.6629719525350595,-0.7777777777777778,0.0,-0.26019417475728157,-0.625
59,6,1,2.5,0,0,1,5.17,0.75,-1.5651564185544768,-0.7777777777777778,0.125,-0.287378640776699,-0.625
60,5,2,1.5,0,0,0,4.5,1.25,-1.4319039913700107,-0.7777777777777778,0.0,-0.279126213592233,-0.375
