volume,episode,global_episode,seed,total_reward,avg_wait,epsilon,queue_score,throughput_score,wait_score,fairness_score
200,0,0,0,182.01296582328126,2.9329104659673093,1.0,0.7864197530864169,0.2743055555555556,0.8081619185381325,0.7621527777777778
200,1,1,1,184.61452181377211,2.2509316770186336,0.94,0.8043209876543181,0.2743055555555556,0.8202020500492798,0.7805555555555556
200,2,2,2,186.6316441985736,1.8972361809045226,0.8835999999999999,0.8154320987654292,0.2743055555555556,0.8346395016196804,0.7927083333333333
200,3,3,3,184.94851304305183,2.122017892644135,0.8305839999999999,0.8077160493827129,0.2746527777777778,0.8185038423610428,0.7836805555555556
200,4,4,4,187.0249796292448,1.8040642247867535,0.7807489599999998,0.8151234567901204,0.2743055555555556,0.8425664951917808,0.7923611111111111
200,5,5,5,183.271272955739,2.3077681874229348,0.7339040223999997,0.7978395061728368,0.2743055555555556,0.808830157616566,0.7732638888888889
200,6,6,6,187.3796654397381,1.8867639657775541,0.6898697810559997,0.8194444444444421,0.275,0.8378178785136717,0.796875
200,7,7,7,189.60738198559775,1.8477710233029383,0.6484775941926397,0.8290123456790093,0.275,0.8584443166057247,0.8086805555555555
200,8,8,8,191.03440831687175,1.4194536635179984,0.6095689385410813,0.8354938271604909,0.275,0.8720620881725252,0.8149305555555556
200,9,9,9,193.91856078118195,1.113129216398547,0.5729948022286164,0.8524691358024664,0.2743055555555556,0.892653388951933,0.8340277777777778
200,10,10,10,191.5776344408017,1.2961538461538462,0.5386151140948994,0.8388888888888862,0.275,0.875048785940776,0.81875
200,11,11,11,193.42645727384786,1.2399068322981366,0.5062982072492054,0.850617283950615,0.275,0.8848520894334,0.8319444444444445
200,12,12,12,196.89168470418437,0.8787161273349119,0.475920314814253,0.8672839506172813,0.275,0.9143007455507466,0.8506944444444444
200,13,13,13,195.94984729402174,1.0135628586332812,0.4473650959253978,0.8645061728395035,0.275,0.9026463490662523,0.8475694444444445
200,14,14,14,198.22307016069118,0.7843189017951425,0.42052319016987394,0.8753086419753062,0.275,0.9222379247864686,0.8597222222222223
400,0,15,15,239.0878218977265,0.70752016653656,0.39529179875968146,0.752777777777774,0.5486111111111112,0.9310244795875258,0.721875
400,1,16,16,238.40352666455112,0.7856957761078,0.37157429083410054,0.7484567901234536,0.5493055555555556,0.9245766254752248,0.7173611111111111
400,2,17,17,241.22856648378493,0.6065294349023207,0.3492798333840545,0.7679012345678976,0.5479166666666667,0.9417069924980723,0.7388888888888889
400,3,18,18,238.56673404619215,0.7611824192921043,0.3283230433810112,0.7484567901234532,0.5493055555555556,0.9271360214315403,0.7180555555555556
400,4,19,19,239.64389806730728,0.6909351393592081,0.3086236607781505,0.7558641975308605,0.5489583333333333,0.9336189971312022,0.7253472222222223
400,5,20,20,241.1969589511566,0.6182056319580878,0.29010624113146144,0.7663580246913543,0.5489583333333333,0.9405172439514592,0.7371527777777778
400,6,21,21,242.28448209661622,0.5990801576872536,0.27269986666357376,0.7743827160493792,0.5493055555555556,0.9424338248344564,0.7465277777777778
400,7,22,22,239.50426016171411,0.6918763854479072,0.25633787466375935,0.7577160493827124,0.5472222222222223,0.9333093445584936,0.7277777777777777
400,8,23,23,241.15133863911944,0.6349123266160691,0.24095760218393378,0.7660493827160457,0.5493055555555556,0.9388107978437751,0.7371527777777778
400,9,24,24,243.34505721513045,0.529784704794611,0.22650014605289773,0.7808641975308602,0.5493055555555556,0.9488024998686745,0.7534722222222222
400,10,25,25,242.38476930932325,0.5931424067262218,0.21291013728972386,0.7759259259259224,0.5486111111111112,0.943622271160308,0.7482638888888888
400,11,26,26,241.82250160729865,0.5933184269367355,0.20013552905234042,0.7734567901234531,0.5475694444444444,0.942404865155739,0.7451388888888889
400,12,27,27,243.07001040098945,0.5430716543730242,0.18812739730919997,0.7796296296296259,0.5489583333333333,0.9475542049565893,0.7520833333333333
400,13,28,28,243.08731790120888,0.5462572482867686,0.17683975347064795,0.7811728395061692,0.5482638888888889,0.9472059899400801,0.7538194444444445
400,14,29,29,241.70254943252124,0.5984758901589804,0.16622936826240906,0.7706790123456753,0.5486111111111112,0.9421511211783774,0.7420138888888889
600,0,30,30,282.0792650900693,0.5080808972887044,0.1562556061666645,0.659567901234564,0.8131944444444444,0.9507477074292711,0.6177083333333333
600,1,31,31,277.01142204272963,0.6154046997389034,0.14688026979666463,0.6290123456790097,0.8076388888888889,0.9400006139600123,0.5847222222222223
600,2,32,32,281.36488178581726,0.4978794840077752,0.13806745360886474,0.6577160493827123,0.8104166666666667,0.951561596856698,0.615625
600,3,33,33,281.02064192997085,0.5258331863868806,0.12978340639233285,0.6540123456790086,0.8114583333333333,0.9488519081681791,0.6118055555555556
600,4,34,34,283.9408853000506,0.45676925813912117,0.12199640200879287,0.6697530864197487,0.815625,0.9555539458857089,0.6284722222222222
600,5,35,35,282.5040542879051,0.4868933758413036,0.11467661788826529,0.6626543209876503,0.8131944444444444,0.9526470958665526,0.6204861111111111
600,6,36,36,281.1849134288052,0.5186721991701245,0.10779602081496936,0.6558641975308604,0.8111111111111111,0.9495405778996804,0.6135416666666667
600,7,37,37,284.096276850385,0.45317785294641266,0.1013282595660712,0.6728395061728355,0.8145833333333333,0.955820970480374,0.6319444444444444
